id,value
대한민국,
대한민국.강원도,
대한민국.경상북도.경산시,
대한민국.경상북도.경산시.남자(내),139624
대한민국.경상북도.경산시.여자(내),139690
대한민국.경상북도.경산시.남자(외),8099
대한민국.경상북도.경산시.여자(외),6005
대한민국.광주광역시,
대한민국.광주광역시.서구,
대한민국.광주광역시.서구.남자(내),142091
대한민국.광주광역시.서구.여자(내),146225
대한민국.광주광역시.서구.남자(외),980
대한민국.광주광역시.서구.여자(외),1269
대한민국.광주광역시.북구,
대한민국.광주광역시.북구.남자(내),214526
대한민국.광주광역시.북구.여자(내),216547
대한민국.광주광역시.북구.남자(외),2701
대한민국.광주광역시.북구.여자(외),3223
대한민국.광주광역시.동구,
대한민국.광주광역시.동구.남자(내),52792
대한민국.광주광역시.동구.여자(내),53716
대한민국.광주광역시.동구.남자(외),1109
대한민국.광주광역시.동구.여자(외),1059
대한민국.광주광역시.남구,
대한민국.광주광역시.남구.남자(내),103150
대한민국.광주광역시.남구.여자(내),111169
대한민국.광주광역시.남구.남자(외),762
대한민국.광주광역시.남구.여자(외),1185
대한민국.광주광역시.광산구,
대한민국.광주광역시.광산구.남자(내),203489
대한민국.광주광역시.광산구.여자(내),201060
대한민국.광주광역시.광산구.남자(외),10488
대한민국.광주광역시.광산구.여자(외),7721
대한민국.대구광역시,
대한민국.대구광역시.중구,
대한민국.대구광역시.중구.남자(내),34526
대한민국.대구광역시.중구.여자(내),37586
대한민국.대구광역시.중구.남자(외),309
대한민국.대구광역시.중구.여자(외),413
대한민국.대구광역시.수성구,
대한민국.대구광역시.수성구.남자(내),196873
대한민국.대구광역시.수성구.여자(내),209065
대한민국.대구광역시.수성구.남자(외),843
대한민국.대구광역시.수성구.여자(외),1304
대한민국.대구광역시.서구,
대한민국.대구광역시.서구.남자(내),80882
대한민국.대구광역시.서구.여자(내),81630
대한민국.대구광역시.서구.남자(외),1502
대한민국.대구광역시.서구.여자(외),1441
대한민국.대구광역시.북구,
대한민국.대구광역시.북구.남자(내),218301
대한민국.대구광역시.북구.여자(내),219881
대한민국.대구광역시.북구.남자(외),2920
대한민국.대구광역시.북구.여자(외),3344
대한민국.대구광역시.동구,
대한민국.대구광역시.동구.남자(내),162181
대한민국.대구광역시.동구.여자(내),168227
대한민국.대구광역시.동구.남자(외),710
대한민국.대구광역시.동구.여자(외),1519
대한민국.대구광역시.달성군,
대한민국.대구광역시.달성군.남자(내),130033
대한민국.대구광역시.달성군.여자(내),127082
대한민국.대구광역시.달성군.남자(외),4776
대한민국.대구광역시.달성군.여자(외),2963
대한민국.대구광역시.달서구,
대한민국.대구광역시.달서구.남자(내),267202
대한민국.대구광역시.달서구.여자(내),274528
대한민국.대구광역시.달서구.남자(외),7222
대한민국.대구광역시.달서구.여자(외),5750
대한민국.대구광역시.남구,
대한민국.대구광역시.남구.남자(내),68352
대한민국.대구광역시.남구.여자(내),74606
대한민국.대구광역시.남구.남자(외),788
대한민국.대구광역시.남구.여자(외),1152
대한민국.대전광역시,
대한민국.대전광역시.중구,
대한민국.대전광역시.중구.남자(내),110766
대한민국.대전광역시.중구.여자(내),114573
대한민국.대전광역시.중구.남자(외),693
대한민국.대전광역시.중구.여자(외),1294
대한민국.대전광역시.유성구,
대한민국.대전광역시.유성구.남자(내),184564
대한민국.대전광역시.유성구.여자(내),174488
대한민국.대전광역시.유성구.남자(외),4085
대한민국.대전광역시.유성구.여자(외),4151
대한민국.대전광역시.서구,
대한민국.대전광역시.서구.남자(내),231859
대한민국.대전광역시.서구.여자(내),239311
대한민국.대전광역시.서구.남자(외),1749
대한민국.대전광역시.서구.여자(외),2752
대한민국.대전광역시.동구,
대한민국.대전광역시.동구.남자(내),115008
대한민국.대전광역시.동구.여자(내),113140
대한민국.대전광역시.동구.남자(외),2538
대한민국.대전광역시.동구.여자(외),3035
대한민국.대전광역시.대덕구,
대한민국.대전광역시.대덕구.남자(내),87810
대한민국.대전광역시.대덕구.여자(내),84958
대한민국.대전광역시.대덕구.남자(외),1409
대한민국.대전광역시.대덕구.여자(외),1557
대한민국.부산광역시,
대한민국.부산광역시.해운대구,
대한민국.부산광역시.해운대구.남자(내),183670
대한민국.부산광역시.해운대구.여자(내),197681
대한민국.부산광역시.해운대구.남자(외),2233
대한민국.부산광역시.해운대구.여자(외),2480
대한민국.부산광역시.중구,
대한민국.부산광역시.중구.남자(내),19016
대한민국.부산광역시.중구.여자(내),20273
대한민국.부산광역시.중구.남자(외),1477
대한민국.부산광역시.중구.여자(외),773
대한민국.부산광역시.영도구,
대한민국.부산광역시.영도구.남자(내),55204
대한민국.부산광역시.영도구.여자(내),55568
대한민국.부산광역시.영도구.남자(외),1262
대한민국.부산광역시.영도구.여자(외),800
대한민국.부산광역시.연제구,
대한민국.부산광역시.연제구.남자(내),95932
대한민국.부산광역시.연제구.여자(내),104301
대한민국.부산광역시.연제구.남자(외),358
대한민국.부산광역시.연제구.여자(외),626
대한민국.부산광역시.수영구,
대한민국.부산광역시.수영구.남자(내),79531
